,Region,Category,Level,Place,Player,Time,Run Date,ID,Date,4th Time,Championship Score,Medal Score,Run Score
0,NTSC,RTA,Championship Normal,1,Shibbypod,561.0,2017-11-09,zxv8grqy,2021-10-01,567.0,2.0,3.0,5.0
3,NTSC,RTA,Championship Normal,2,doctorfeesh,562.0,2021-03-21,y42026nm,2021-10-01,567.0,1.99,2.5,4.49
6,NTSC,RTA,Championship Normal,3,MetalHead,566.0,2019-12-23,m3102oqz,2021-10-01,567.0,1.97,0.5,2.47
9,NTSC,RTA,Championship Normal,4,MyOhMyPancakes,567.0,2019-08-29,z57d3vjm,2021-10-01,567.0,1.96,0.0,1.96
12,NTSC,RTA,Championship Normal,4,AS_Money,567.0,2019-09-21,y210n3jz,2021-10-01,567.0,1.96,0.0,1.96
15,NTSC,RTA,Championship Normal,4,quickpersonsIND,567.0,2019-09-30,mre74g2y,2021-10-01,567.0,1.96,0.0,1.96
18,NTSC,RTA,Championship Normal,5,meauxdal,576.0,2017-10-25,yw13n8pz,2021-10-01,567.0,1.9,0.0,1.9
21,NTSC,RTA,Championship Normal,6,VR747_CHALON_Type_a8,578.0,2021-09-25,y27jr97z,2021-10-01,567.0,1.89,0.0,1.89
24,NTSC,RTA,Championship Normal,7,kirch,581.0,2019-07-02,y955kqez,2021-10-01,567.0,1.87,0.0,1.87
27,NTSC,RTA,Championship Normal,7,andypanther,581.0,2020-07-02,zprp3lvm,2021-10-01,567.0,1.87,0.0,1.87
30,NTSC,RTA,Championship Normal,8,KoiIroHoshi,583.0,2017-06-27,mekojk8m,2021-10-01,567.0,1.85,0.0,1.85
33,NTSC,RTA,Championship Normal,9,ZubyDoo77,585.0,2020-11-09,y2d0ld7z,2021-10-01,567.0,1.84,0.0,1.84
36,NTSC,RTA,Championship Normal,10,GhillieGuide,587.0,2017-02-12,1zxrj15z,2021-10-01,567.0,1.83,0.0,1.83
39,NTSC,RTA,Championship Normal,11,arata0503,588.0,2021-09-09,mrn6g27y,2021-10-01,567.0,1.82,0.0,1.82
42,NTSC,RTA,Championship Normal,12,dosufura,591.0,2021-09-29,y8e6l8ny,2021-10-01,567.0,1.8,0.0,1.8
45,NTSC,RTA,Championship Normal,13,hokorobi,595.0,2018-01-23,y67v19pm,2021-10-01,567.0,1.78,0.0,1.78
48,NTSC,RTA,Championship Normal,14,RioPeace,598.0,2016-04-28,dy4gendy,2021-10-01,567.0,1.76,0.0,1.76
51,NTSC,RTA,Championship Normal,14,MDK1,598.0,2021-07-02,y2xr046m,2021-10-01,567.0,1.76,0.0,1.76
54,PAL,RTA,Championship Normal,15,AdomHaMez,600.84,2021-09-28,m7739p4m,2021-10-01,567.0,1.74,0.0,1.74
57,NTSC,RTA,Championship Normal,16,Trippyc,601.0,2017-09-16,zn802v7z,2021-10-01,567.0,1.74,0.0,1.74
60,NTSC,RTA,Championship Normal,17,Bace,607.0,2018-03-17,y678wx0m,2021-10-01,567.0,1.7,0.0,1.7
63,NTSC,RTA,Championship Normal,18,HeroProc,610.0,2017-05-01,zq66ev5y,2021-10-01,567.0,1.68,0.0,1.68
66,NTSC,RTA,Championship Normal,19,JJ,615.0,2017-01-30,9me518qm,2021-10-01,567.0,1.64,0.0,1.64
69,NTSC,RTA,Championship Normal,20,kidnomor,616.0,2018-12-18,z11l69wz,2021-10-01,567.0,1.64,0.0,1.64
72,NTSC,RTA,Championship Normal,21,Speedruntrainer,617.0,2014-10-27,jy9qx52z,2021-10-01,567.0,1.63,0.0,1.63
75,NTSC,RTA,Championship Normal,22,Maple_Hood,623.0,2014-03-08,1zqo9r9y,2021-10-01,567.0,1.59,0.0,1.59
78,NTSC,RTA,Championship Normal,23,bendswithy,625.0,2016-07-05,7ylw102z,2021-10-01,567.0,1.58,0.0,1.58
81,NTSC,RTA,Championship Normal,24,Superfish3000,630.0,2019-05-06,y895065m,2021-10-01,567.0,1.54,0.0,1.54
84,NTSC,RTA,Championship Normal,25,Yagiu,643.0,2019-06-24,yw44eq3z,2021-10-01,567.0,1.46,0.0,1.46
87,NTSC,RTA,Championship Normal,26,starcrytas,655.0,2016-10-09,nz14g5jz,2021-10-01,567.0,1.38,0.0,1.38
90,NTSC,RTA,Championship Normal,27,YoBGS,681.0,2019-05-17,z575dnjm,2021-10-01,567.0,1.21,0.0,1.21
93,NTSC,RTA,Championship Normal,28,MasterLemmon,686.0,2017-02-07,9mrprk4z,2021-10-01,567.0,1.17,0.0,1.17
96,PAL,RTA,Championship Normal,29,JimB,708.0,2018-06-10,mr8qk7gy,2021-10-01,567.0,1.03,0.0,1.03
99,PAL,RTA,Championship Normal,30,Recurv2,710.0,2021-02-15,zp32e4vm,2021-10-01,567.0,1.02,0.0,1.02
102,PAL,RTA,Championship Normal,31,Ipsum86,712.0,2020-07-03,z15kr57y,2021-10-01,567.0,1.0,0.0,1.0
105,PAL,RTA,Championship Normal,32,PokerFacowaty,714.0,2019-01-24,zx4xd1ey,2021-10-01,567.0,0.99,0.0,0.99
108,PAL,RTA,Championship Normal,33,anglakey,831.0,2017-02-26,jy9rl0ny,2021-10-01,567.0,0.22,0.0,0.22
111,NTSC,RTA,Championship Normal,34,MeridianPrime,864.0,2018-08-04,y432xk3z,2021-10-01,567.0,0.0,0.0,0.0
114,NTSC,RTA,Championship Hard,1,Shibbypod,668.0,2018-03-09,z0ek75jm,2021-10-01,678.0,2.0,3.0,5.0
115,NTSC,RTA,Championship Hard,2,doctorfeesh,671.0,2020-04-04,z05en78m,2021-10-01,678.0,1.93,2.1,4.03
116,NTSC,RTA,Championship Hard,3,MyOhMyPancakes,677.0,2020-11-12,ylv7122m,2021-10-01,678.0,1.8,0.3,2.1
117,NTSC,RTA,Championship Hard,4,MetalHead,678.0,2018-09-30,me84q6qm,2021-10-01,678.0,1.77,0.0,1.77
118,NTSC,RTA,Championship Hard,5,AS_Money,683.0,2019-06-05,yoj4n6jm,2021-10-01,678.0,1.66,0.0,1.66
119,NTSC,RTA,Championship Hard,6,meauxdal,692.0,2017-10-23,y23pe75m,2021-10-01,678.0,1.45,0.0,1.45
120,NTSC,RTA,Championship Hard,7,andypanther,702.0,2017-06-06,z13jxx9m,2021-10-01,678.0,1.23,0.0,1.23
121,NTSC,RTA,Championship Hard,8,GhillieGuide,705.0,2017-02-15,emknxo5m,2021-10-01,678.0,1.16,0.0,1.16
122,NTSC,RTA,Championship Hard,9,Trippyc,715.0,2016-06-05,0y64x5qm,2021-10-01,678.0,0.93,0.0,0.93
123,NTSC,RTA,Championship Hard,10,RioPeace,724.0,2016-04-30,pzg2p4dy,2021-10-01,678.0,0.73,0.0,0.73
124,NTSC,RTA,Championship Hard,11,arata0503,741.0,2021-08-15,zn0k23vy,2021-10-01,678.0,0.34,0.0,0.34
125,NTSC,RTA,Championship Hard,12,JJ,756.0,2017-02-01,9me51oqm,2021-10-01,678.0,0.0,0.0,0.0
126,NTSC,RTA,Championship Expert,1,Shibbypod,776.0,2017-12-02,yvg8lg4y,2021-10-01,788.0,2.0,3.0,5.0
127,NTSC,RTA,Championship Expert,2,doctorfeesh,779.0,2019-06-09,m31d8q6z,2021-10-01,788.0,1.94,2.25,4.19
128,NTSC,RTA,Championship Expert,3,Illudude,785.0,2014-12-05,8yvk09xm,2021-10-01,788.0,1.83,0.75,2.58
129,NTSC,RTA,Championship Expert,4,MetalHead,788.0,2019-12-04,m31kq9wz,2021-10-01,788.0,1.77,0.0,1.77
130,NTSC,RTA,Championship Expert,5,MyOhMyPancakes,791.0,2019-05-23,y95o8pkz,2021-10-01,788.0,1.71,0.0,1.71
131,NTSC,RTA,Championship Expert,6,AS_Money,793.0,2019-09-20,y95ld72z,2021-10-01,788.0,1.68,0.0,1.68
132,NTSC,RTA,Championship Expert,7,meauxdal,804.0,2017-10-29,mrq7d7dy,2021-10-01,788.0,1.47,0.0,1.47
133,NTSC,RTA,Championship Expert,8,andypanther,807.0,2019-04-18,y43deodz,2021-10-01,788.0,1.41,0.0,1.41
134,NTSC,RTA,Championship Expert,9,kirch,822.0,2018-12-02,me8lll2m,2021-10-01,788.0,1.12,0.0,1.12
135,NTSC,RTA,Championship Expert,10,GhillieGuide,823.0,2016-11-04,6yjvd67y,2021-10-01,788.0,1.1,0.0,1.1
136,NTSC,RTA,Championship Expert,11,_LOG_cAbiN,827.0,2018-02-08,zpqk088y,2021-10-01,788.0,1.03,0.0,1.03
137,NTSC,RTA,Championship Expert,12,RioPeace,859.0,2016-04-30,9me516qm,2021-10-01,788.0,0.42,0.0,0.42
138,NTSC,RTA,Championship Expert,13,Dangerless,881.0,2018-07-11,zp04lpvm,2021-10-01,788.0,0.0,0.0,0.0
139,NTSC,RTA,Championship Reverse,1,Shibbypod,786.0,2021-02-20,zp3dlorm,2021-10-01,811.0,2.0,3.0,5.0
140,NTSC,RTA,Championship Reverse,2,doctorfeesh,787.0,2020-04-03,yjlkpj7z,2021-10-01,811.0,1.98,2.88,4.86
141,NTSC,RTA,Championship Reverse,3,MyOhMyPancakes,798.0,2020-11-21,y8r0dedm,2021-10-01,811.0,1.74,1.56,3.3
142,NTSC,RTA,Championship Reverse,4,AS_Money,811.0,2019-09-08,z57d4gnm,2021-10-01,811.0,1.46,0.0,1.46
143,NTSC,RTA,Championship Reverse,5,meauxdal,814.0,2017-11-24,m792g59y,2021-10-01,811.0,1.4,0.0,1.4
144,NTSC,RTA,Championship Reverse,5,MetalHead,814.0,2018-09-01,yd397qxz,2021-10-01,811.0,1.4,0.0,1.4
145,NTSC,RTA,Championship Reverse,6,KoiIroHoshi,818.0,2017-07-05,y45w08km,2021-10-01,811.0,1.31,0.0,1.31
146,NTSC,RTA,Championship Reverse,7,GhillieGuide,823.0,2017-06-17,z13j4xjm,2021-10-01,811.0,1.2,0.0,1.2
147,NTSC,RTA,Championship Reverse,8,andypanther,824.0,2017-10-27,yjkp9knm,2021-10-01,811.0,1.18,0.0,1.18
148,NTSC,RTA,Championship Reverse,9,RioPeace,879.0,2016-05-06,dy44xrky,2021-10-01,811.0,0.0,0.0,0.0
149,NTSC,RTA,All Championships,1,Shibbypod,3071.0,2018-09-04,m7pdqj0m,2021-10-01,3117.0,8.0,12.0,20.0
150,NTSC,RTA,All Championships,2,doctorfeesh,3102.0,2019-09-15,znr70jvy,2021-10-01,3117.0,7.08,3.91,10.99
151,NTSC,RTA,All Championships,3,MyOhMyPancakes,3113.0,2019-09-13,y81jr75z,2021-10-01,3117.0,6.76,1.04,7.8
152,NTSC,RTA,All Championships,4,MetalHead,3117.0,2020-09-18,z1o3w87m,2021-10-01,3117.0,6.64,0.0,6.64
153,NTSC,RTA,All Championships,5,AS_Money,3156.0,2019-09-15,y81jj35z,2021-10-01,3117.0,5.48,0.0,5.48
154,NTSC,RTA,All Championships,6,quickpersonsIND,3159.0,2019-11-05,y41g62dy,2021-10-01,3117.0,5.39,0.0,5.39
155,NTSC,RTA,All Championships,7,andypanther,3208.0,2019-09-30,zqw34vxz,2021-10-01,3117.0,3.94,0.0,3.94
156,NTSC,RTA,All Championships,8,GhillieGuide,3217.0,2017-10-31,yw13lq9z,2021-10-01,3117.0,3.67,0.0,3.67
157,NTSC,RTA,All Championships,9,RioPeace,3341.0,2016-05-11,yw1e9qnz,2021-10-01,3117.0,0.0,0.0,0.0
