Player,Sheet,IL Sheet,RTA Sheet,Standards,Benchmarks,Bronze,Silver,Gold,Medals,Date
AS_Money,28,23,5,22,12,0,0,0,0,2021-10-01
AdomHaMez,16,15,1,1,0,0,0,0,0,2021-10-01
Bace,25,24,1,4,0,0,0,0,0,2021-10-01
Bert86,10,10,0,10,5,0,0,0,0,2021-10-01
Bunta,6,6,0,2,0,0,0,0,0,2021-10-01
CD_84,2,2,0,2,0,0,0,0,0,2021-10-01
Caseywho,2,2,0,2,0,0,0,0,0,2021-10-01
DJ-Cat,24,24,0,0,0,0,0,0,0,2021-10-01
Dangerless,1,0,1,0,0,0,0,0,0,2021-10-01
DeeEddy,2,2,0,0,0,0,0,0,0,2021-10-01
EliminatorJr,1,1,0,0,0,0,0,0,0,2021-10-01
FPScanada,5,5,0,0,0,0,0,0,0,2021-10-01
Game,24,24,0,24,23,13,0,1,14,2021-10-01
GhillieGuide,26,21,5,10,1,0,0,0,0,2021-10-01
GooglyEyes,2,2,0,2,0,0,0,0,0,2021-10-01
HeroProc,3,2,1,2,0,0,0,0,0,2021-10-01
HighestLevelWizard,2,2,0,0,0,0,0,0,0,2021-10-01
Illudude,15,14,1,13,12,3,2,2,7,2021-10-01
Ipsum86,8,7,1,0,0,0,0,0,0,2021-10-01
JJ,2,0,2,0,0,0,0,0,0,2021-10-01
JimB,20,19,1,0,0,0,0,0,0,2021-10-01
KingSolomon,1,1,0,0,0,0,0,0,0,2021-10-01
KoiIroHoshi,26,24,2,18,4,0,0,0,0,2021-10-01
Lucehboii,1,1,0,0,0,0,0,0,0,2021-10-01
MDK1,16,15,1,12,9,0,0,0,0,2021-10-01
MMW,2,2,0,0,0,0,0,0,0,2021-10-01
Mahrla,24,24,0,0,0,0,0,0,0,2021-10-01
Maple_Hood,11,10,1,2,0,0,0,0,0,2021-10-01
MasterLemmon,1,0,1,0,0,0,0,0,0,2021-10-01
MeridianPrime,1,0,1,0,0,0,0,0,0,2021-10-01
MetalHead,29,24,5,20,14,2,1,0,3,2021-10-01
MortimerNova,1,1,0,0,0,0,0,0,0,2021-10-01
MyOhMyPancakes,29,24,5,23,15,3,0,0,3,2021-10-01
NickWarner,8,8,0,5,2,0,0,0,0,2021-10-01
Nordicboa,2,2,0,0,0,0,0,0,0,2021-10-01
Ohme,1,1,0,0,0,0,0,0,0,2021-10-01
P-Nut91,1,1,0,0,0,0,0,0,0,2021-10-01
Ploflo82,2,2,0,0,0,0,0,0,0,2021-10-01
PokerFacowaty,1,0,1,0,0,0,0,0,0,2021-10-01
PuggyWuggy,4,4,0,0,0,0,0,0,0,2021-10-01
PvtCb,4,4,0,0,0,0,0,0,0,2021-10-01
R-J-Clapham,2,2,0,0,0,0,0,0,0,2021-10-01
RSR,12,12,0,2,0,0,0,0,0,2021-10-01
RandyOzzY,2,2,0,1,0,0,0,0,0,2021-10-01
Recurv2,15,14,1,0,0,0,0,0,0,2021-10-01
RideThatSurf,2,2,0,0,0,0,0,0,0,2021-10-01
RioPeace,5,0,5,0,0,0,0,0,0,2021-10-01
RyanLockwood,4,4,0,4,3,1,0,0,1,2021-10-01
RyanWarner,16,16,0,4,0,0,0,0,0,2021-10-01
ShibbyWife,1,1,0,0,0,0,0,0,0,2021-10-01
Shibbypod,29,24,5,24,24,3,6,20,29,2021-10-01
Sonata,2,2,0,0,0,0,0,0,0,2021-10-01
Speedruntrainer,9,8,1,1,0,0,0,0,0,2021-10-01
Superfish3000,1,0,1,0,0,0,0,0,0,2021-10-01
Tetsuo,1,1,0,0,0,0,0,0,0,2021-10-01
Trippyc,5,3,2,0,0,0,0,0,0,2021-10-01
VR747_CHALON_Type_a8,1,0,1,0,0,0,0,0,0,2021-10-01
VerociousVee,2,2,0,0,0,0,0,0,0,2021-10-01
Yagiu,1,0,1,0,0,0,0,0,0,2021-10-01
YoBGS,1,0,1,0,0,0,0,0,0,2021-10-01
ZubyDoo77,9,8,1,5,0,0,0,0,0,2021-10-01
_LOG_cAbiN,1,0,1,0,0,0,0,0,0,2021-10-01
admiralsmit,5,5,0,4,1,0,0,0,0,2021-10-01
analogism,14,14,0,12,6,1,0,0,1,2021-10-01
andypanther,29,24,5,18,4,0,0,0,0,2021-10-01
anglakey,1,0,1,0,0,0,0,0,0,2021-10-01
arata0503,2,0,2,0,0,0,0,0,0,2021-10-01
bendswithy,1,0,1,0,0,0,0,0,0,2021-10-01
bobakanoosh55555,8,8,0,7,3,0,0,0,0,2021-10-01
boynafe,1,1,0,1,0,0,0,0,0,2021-10-01
d0ggr,4,4,0,0,0,0,0,0,0,2021-10-01
doctorfeesh,29,24,5,24,24,3,17,6,26,2021-10-01
dosufura,4,3,1,1,0,0,0,0,0,2021-10-01
eToast,13,13,0,12,11,0,0,0,0,2021-10-01
fed338,4,4,0,2,0,0,0,0,0,2021-10-01
gplehner,2,2,0,0,0,0,0,0,0,2021-10-01
grimya,2,2,0,1,0,0,0,0,0,2021-10-01
hokorobi,1,0,1,0,0,0,0,0,0,2021-10-01
hotelmario69,2,2,0,0,0,0,0,0,0,2021-10-01
kazey77,2,2,0,0,0,0,0,0,0,2021-10-01
kidnomor,1,0,1,0,0,0,0,0,0,2021-10-01
kirch,5,3,2,3,0,0,0,0,0,2021-10-01
meauxdal,28,24,4,20,10,0,0,0,0,2021-10-01
misuken,2,2,0,2,2,0,0,0,0,2021-10-01
mo_moe,21,21,0,21,18,1,3,0,4,2021-10-01
mrpitchy,3,3,0,3,2,0,0,0,0,2021-10-01
nealclay,6,6,0,0,0,0,0,0,0,2021-10-01
piddythebat,1,1,0,0,0,0,0,0,0,2021-10-01
quickpersonsIND,17,15,2,14,9,0,0,0,0,2021-10-01
raybc123,1,1,0,0,0,0,0,0,0,2021-10-01
starcrytas,1,0,1,0,0,0,0,0,0,2021-10-01
th3ch0s3n0n3,16,16,0,4,0,0,0,0,0,2021-10-01
the_androgyne,19,19,0,13,8,0,0,0,0,2021-10-01
timtamz91,1,1,0,1,0,0,0,0,0,2021-10-01
usamiiin,2,2,0,2,0,0,0,0,0,2021-10-01
